r,37
r,51
u,69
r,93
u,104
r,121
u,131
l,139
u,187
l,207
u,217
u,208
l,214
u,233
l,243
u,234
l,263
l,245
u,219
u,212
l,231
l,331
u,395
u,432
u,473
u,492
l,441
l,456
u,431
l,459
l,483
u,472
l,434
u,419
r,417
r,416
u,437
u,432
u,570
l,479
u,517
l,692
l,780
l,902
u,820
u,796
u,860
u,788
u,796
u,803
u,742
u,833
u,933
u,885
u,1046
u,808
u,831
l,939
l,1049
l,1050
d,944
d,977
d,801
u,757
l,767
u,770
l,774
u,787
u,792
u,804
l,820
l,1021
d,909
l,1015
u,1579
l,1541
u,1681
l,1539
l,1631
d,1439
u,1431
r,1359
r,1484
r,1610
u,1448
u,1457
u,1423
l,1327
u,1483
l,1524
r,1581
u,1715
r,1879
r,1598
r,1599
u,1751
u,1961
r,1840
u,2061
l,2012
u,2031
l,1855
l,1746
u,1682
l,1752
u,1721
u,1824
l,1831
l,1835
u,1737
u,1755
r,1962
u,1748
l,1830
u,2239
r,1924
l,2031
r,2337
r,1947
u,1660
l,1726
u,2315
r,1998
r,2020
u,1904
u,1689
u,1695
l,1716
u,2140
u,1757
u,1763
l,1763
l,1765
l,1773
l,1775
l,1775
l,1790
u,1790
r,1789
l,1797
u,1802
l,1817
l,1883
u,1887
l,1889
l,1903
u,1905
u,1909
l,1912
l,1915
l,1942
u,1947
l,1962
u,1964
u,1968
u,1971
u,1971
u,1976
l,1984
u,1981
r,1978
l,2021
u,2160
r,2380
u,2622
u,2639
l,2634
u,2642
r,3431
u,3106
l,3075
u,3184
l,2821
r,3069
l,3812
d,3074
u,2765
u,2870
u,2768
d,2767
l,2773
u,2785
u,2791
u,2792
d,2797
d,2798
u,2805
u,2827
u,2828
u,2832
u,2846
u,2851
u,2853
l,2855
r,2860
u,2865
u,2871
l,2870
d,2875
l,2897
u,2897
d,2900
u,2914
l,2919
u,2927
l,2943
l,2959
u,2991
u,2998
l,3014
u,3016
u,3019
l,3023
u,3032
u,3057
u,3059
u,3070
l,3073
u,3075
u,3077
u,3082
l,3087
u,3088
d,3088
l,3099
u,3118
u,3166
u,3233
l,3450
u,3460
u,3472
l,3496
u,3499
l,3511
l,3530
u,3610
u,3914
l,4107
l,3836
u,4925
l,3765
u,3773
l,3774
l,3774
u,3778
l,3782
u,3791
l,3802
l,3808
l,3832
u,4075
l,3915
l,3912
r,3832
l,3842
l,5128
d,4023
u,3749
l,3750
l,3754
u,3751
d,3749
l,3760
u,3763
l,3771
l,3782
u,3791
l,3842
u,3845
u,3846
u,3850
l,3853
u,3862
u,3864
u,3866
u,3877
u,3879
l,3884
u,3884
u,3886
r,3913
u,3938
u,3955
u,3959
u,3962
u,3963
l,3967
r,3971
u,4065
l,4077
l,4078
u,4079
l,4090
u,4095
u,4104
u,4115
u,4117
u,4119
l,4120
r,4120
l,4124
u,4131
l,4135
u,4139
d,4156
l,4159
r,4177
u,4188
u,4193
r,4250
u,4437
r,4445
u,4451
r,4550
u,4588
u,4600
l,4621
u,4626
r,4632
u,4645
u,4646
l,4652
u,4660
l,4705
u,4709
r,4713
u,4718
l,4719
l,4732
u,4733
u,4736
u,4737
u,4740
u,4747
r,4757
u,4778
l,4784
u,4784
r,4785
l,4789
u,4797
l,4812
l,4898
u,4906
l,4909
r,4911
u,4914
l,4918
u,4921
u,4924
r,4927
l,4941
u,4965
l,4967
l,4968
l,4970
u,4971
u,4980
l,4988
l,5019
l,5183
u,5472
l,5471
u,5476
r,5489
u,5499
u,5502
u,5504
l,5509
u,5517
l,5519
l,5521
l,5522
l,5528
l,5547
r,5558
u,5616
u,5620
l,5634
u,5634
r,5645
u,5648
u,5660
l,5664
u,5665
u,5666
l,5670
u,5671
r,5677
u,5687
r,5726
u,5730
u,5733
u,5745
u,5749
l,5751
u,5752
u,5761
l,5776
u,5777
l,5781
u,5783
u,5785
r,5790
r,5791
u,5796
l,5808
u,5812
u,5815
l,5815
l,5818
l,5822
l,5846
u,5878
l,5883
u,5888
u,5892
d,6372
l,6933
l,6999
u,7003
u,6997
l,7010
u,7012
d,7068
l,7586
u,7598
l,7634
u,7648
l,7654
u,7655
u,7653
d,7668
l,7684
l,7687
u,7700
u,7707
u,7707
u,7712
u,7724
l,7740
l,7747
u,7750
l,7754
u,7762
u,7762
l,7767
u,7769
u,7772
l,7776
r,7838
u,7859
l,7888
u,7922
l,7935
l,7949
u,7951
u,7954
l,7956
u,7958
u,7960
l,7958
u,7963
u,7972
l,7994
l,8025
u,8034
u,8035
u,8037
u,8040
l,8036
u,8039
u,8051
u,8052
